alert_id,processing_status,processing_run_id,processed_at,ai_draft_source,ai_draft_reference,model_id,ai_verification,review_routing,review_gate,human_review_decision,human_review_id,override_status,override_request_id,final_action,disposition_source,disposition_reference,routing_policy_id,error_code
ALERT001,processed,LIVE-CAPTURE-V1,2026-07-20T03:40:14.079756+00:00,captured_live,LIVE-CAPTURE-V1:ALERT001,claude-haiku-4-5-20251001,pass,required,complete,edited,REV003,pending,CHG-SEED-003,monitor,human_review,REV003,POL-REVIEW-ROUTING-V1,
ALERT002,processed,LIVE-CAPTURE-V1,2026-07-20T03:40:16.054412+00:00,captured_live,LIVE-CAPTURE-V1:ALERT002,claude-haiku-4-5-20251001,mixed,required,pending,none,,pending,CHG-SEED-001,,none,,POL-REVIEW-ROUTING-V1,
ALERT003,processed,LIVE-CAPTURE-V1,2026-07-20T03:40:17.442525+00:00,captured_live,LIVE-CAPTURE-V1:ALERT003,claude-haiku-4-5-20251001,pass,not_required,not_applicable,none,,none,,monitor,system_policy,POL-REVIEW-ROUTING-V1,POL-REVIEW-ROUTING-V1,
ALERT004,processed,LIVE-CAPTURE-V1,2026-07-20T03:40:19.312793+00:00,captured_live,LIVE-CAPTURE-V1:ALERT004,claude-haiku-4-5-20251001,pass,required,complete,edited,REV002,none,,escalate,human_review,REV002,POL-REVIEW-ROUTING-V1,
ALERT005,processed,LIVE-CAPTURE-V1,2026-07-20T03:40:21.310430+00:00,captured_live,LIVE-CAPTURE-V1:ALERT005,claude-haiku-4-5-20251001,pass,not_required,not_applicable,none,,pending,CHG-SEED-002,monitor,system_policy,POL-REVIEW-ROUTING-V1,POL-REVIEW-ROUTING-V1,
ALERT006,processed,LIVE-CAPTURE-V1,2026-07-20T03:40:22.534400+00:00,captured_live,LIVE-CAPTURE-V1:ALERT006,claude-haiku-4-5-20251001,pass,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT007,processed,LIVE-CAPTURE-V1,2026-07-20T03:40:24.878727+00:00,captured_live,LIVE-CAPTURE-V1:ALERT007,claude-haiku-4-5-20251001,pass,required,blocked,accepted,REV001,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT008,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:58:58.215094+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT008,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT009,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:01.026365+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT009,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT010,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:03.648518+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT010,claude-haiku-4-5-20251001,pass,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT011,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:05.543045+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT011,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT012,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:08.442789+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT012,claude-haiku-4-5-20251001,pass,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT013,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:10.652578+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT013,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT014,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:14.037329+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT014,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT015,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:16.114832+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT015,claude-haiku-4-5-20251001,pass,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT016,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:19.292119+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT016,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT017,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:21.614169+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT017,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT018,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:25.239200+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT018,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT019,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:28.469843+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT019,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT020,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:31.301845+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT020,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT021,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:34.385706+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT021,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT022,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:36.874241+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT022,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT023,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:43.978222+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT023,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
